sample	samples	sample_type	TP53	BRCA1	SFRS2	ATF4	SLC7A11	WT1	PBRM1	BAP1	CDH1	CIC	RB1	STK11	SMAD4	NF1
TCGA-B6-A0WY-01	TCGA-B6-A0WY-01	Primary Tumor	1.072	-0.3248	-0.2112	0.4663	0.5829	-2.853	0.1895	-0.1776	2.902	0.01384	0.2703	10.05	-0.1328	0.6172
TCGA-AC-A6NO-01	TCGA-AC-A6NO-01	Primary Tumor	1.061	0.8044	0.3331	-0.7507	-0.8049	-2.773	0.0637	0.1507	1.277	0.3927	-0.1334	10.72	0.1066	0.06356
TCGA-BH-A1FL-01	TCGA-BH-A1FL-01	Primary Tumor	1.058	0.9577	-0.2475	-1.082	-2.012	-2.908	1.053	0.1312	-2.637	0.2925	0.1134	10.17	0.3427	0.4179
TCGA-C8-A12N-01	TCGA-C8-A12N-01	Primary Tumor	1.052	-0.5076	-0.229	-0.05405	-0.7095	5.183	0.0568	-0.2148	1.152	-0.2594	0.1487	10.19	-0.1107	0.01096
TCGA-E2-A107-01	TCGA-E2-A107-01	Primary Tumor	1.051	1.726	0.04076	-0.05655	-2.451	-3.254	0.3508	0.001982	-1.514	0.2276	-0.405	10.52	-0.3652	-0.01074
TCGA-Z7-A8R5-01	TCGA-Z7-A8R5-01	Primary Tumor	1.047	-1.653	0.007359	0.5423	-2.593	0.7934	-0.6021	0.1444	0.7057	-0.1403	-0.8753	10.7	0.05472	-0.9572
TCGA-E2-A1IF-01	TCGA-E2-A1IF-01	Primary Tumor	1.036	-0.23	-0.4381	-0.1616	-1.643	1.784	-0.1836	0.08348	1.079	0.09964	-0.2487	10.33	-0.3213	-0.4858
TCGA-AR-A2LO-01	TCGA-AR-A2LO-01	Primary Tumor	1.033	1.089	0.1677	-0.735	-3.088	-2.656	0.1142	-0.327	-0.3196	0.3399	0.2209	10.21	0.3619	0.6508
TCGA-UL-AAZ6-01	TCGA-UL-AAZ6-01	Primary Tumor	1.032	-0.3761	0.5538	0.4814	0.2026	0.2033	-0.4198	0.1233	3.816	-0.3139	-1.001	10.72	-0.5438	-0.5981
TCGA-E2-A1BD-01	TCGA-E2-A1BD-01	Primary Tumor	1.03	0.2871	-0.5691	-0.827	-2.07	3.963	-0.004301	0.3675	1.894	0.2432	0.516	10.37	-0.3075	-0.08334
TCGA-B6-A0RN-01	TCGA-B6-A0RN-01	Primary Tumor	1.025	-1.186	-0.3674	-1.351	-0.9454	0.3437	0.4928	-0.08412	-1.934	0.389	0.3359	10.48	0.3784	0.2517
TCGA-BH-A209-01	TCGA-BH-A209-01	Primary Tumor	1.022	0.9891	0.3967	-0.317	-1.142	7.337	0.5172	-0.05352	-3.06	-1.727	-0.2526	8.906	-0.4646	-0.4115
TCGA-E2-A15F-01	TCGA-E2-A15F-01	Primary Tumor	1.017	0.9911	-0.3358	-0.9327	0.5581	0.2241	1.109	0.2357	2.2	0.2115	0.3163	9.637	-0.03728	0.5928
TCGA-A2-A04N-01	TCGA-A2-A04N-01	Primary Tumor	1.013	-0.1363	-0.3143	-0.5124	-2.566	1.911	0.0858	-0.1298	1.409	-0.2762	0.2575	10.17	0.09522	-0.01394
TCGA-BH-AB28-01	TCGA-BH-AB28-01	Primary Tumor	1.009	0.7383	0.2033	-0.2918	-2.836	-0.2225	0.19	0.2463	1.239	0.2697	0.2202	10.31	0.326	0.4527
TCGA-E9-A3HO-01	TCGA-E9-A3HO-01	Primary Tumor	0.9937	1.49	0.8792	0.4458	-2.025	5.885	0.0852	0.2105	-3.991	-0.1176	-0.952	11.1	0.3696	-0.7563
TCGA-B6-A40B-01	TCGA-B6-A40B-01	Primary Tumor	0.9929	-0.1938	0.2915	-0.03705	-3.101	1.39	-0.3028	0.1356	-2.054	0.586	-0.409	10.68	-0.1579	-0.7825
TCGA-D8-A141-01	TCGA-D8-A141-01	Primary Tumor	0.9726	0.01921	-0.2602	-0.3886	-1.187	1.633	0.6681	-0.03382	-0.008652	-0.02006	0.3391	10.28	-0.01948	0.2747
